ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
3113,HLA-DPA1,9,Microparticles,P20036
3119,HLA-DQB1,27,Microparticles,P01920
3122,HLA-DRA,93,Microparticles,P01903
3123,HLA-DRB1,131,Microparticles,P01911
3126,HLA-DRB4,42,Microparticles,P13762
3133,HLA-E,59,Microparticles,P13747
3178,HNRNPA1,82,Microparticles,P09651
3181,HNRNPA2B1,98,Microparticles,P22626
3183,HNRNPC,111,Microparticles,P07910
3184,HNRNPD,100,Microparticles,Q14103
3185,HNRNPF,76,Microparticles,P52597
3187,HNRNPH1,85,Microparticles,P31943
3190,HNRNPK,137,Microparticles,P61978
3192,HNRNPU,101,Microparticles,Q00839
3240,HP,97,Microparticles,P00738
3250,HPR,70,Microparticles,P00739
3263,HPX,39,Microparticles,P02790
3276,PRMT1,73,Microparticles,Q99873
3294,HSD17B2,16,Microparticles,P37059
3295,HSD17B4,75,Microparticles,P51659
3303,HSPA1A,168,Microparticles,P0DMV8
3304,HSPA1B,140,Microparticles,P0DMV9
3308,HSPA4,152,Microparticles,P34932
3310,HSPA6,86,Microparticles,P17066
3311,HSPA7,3,Microparticles,P48741
3312,HSPA8,286,Microparticles,P11142
3313,HSPA9,100,Microparticles,P38646
3320,HSP90AA1,258,Microparticles,P07900
3326,HSP90AB1,247,Microparticles,P08238
3329,HSPD1,136,Microparticles,P10809
3385,ICAM3,50,Microparticles,P32942
3418,IDH2,78,Microparticles,P48735
3482,IGF2R,95,Microparticles,P11717
3500,IGHG1,6,Microparticles,P01857
3502,IGHG3,5,Microparticles,P01860
3507,IGHM,11,Microparticles,P01871
3612,IMPA1,47,Microparticles,P29218
3689,ITGB2,65,Microparticles,P05107
3712,IVD,10,Microparticles,P26440
3716,JAK1,52,Microparticles,P23458
3799,KIF5B,112,Microparticles,P33176
3837,KPNB1,171,Microparticles,Q14974
3843,IPO5,104,Microparticles,O00410
3848,KRT1,217,Microparticles,P04264
3849,KRT2,192,Microparticles,P35908
3852,KRT5,112,Microparticles,P13647
3853,KRT6A,84,Microparticles,P02538
3857,KRT9,197,Microparticles,P35527
3858,KRT10,191,Microparticles,P13645
3861,KRT14,123,Microparticles,P02533
3895,KTN1,54,Microparticles,Q86UP2
3932,LCK,69,Microparticles,P06239
3936,LCP1,145,Microparticles,P13796
3939,LDHA,200,Microparticles,P00338
3945,LDHB,226,Microparticles,P07195
4001,LMNB1,67,Microparticles,P20700
4012,LNPEP,83,Microparticles,Q9UIQ6
4048,LTA4H,84,Microparticles,P09960
4065,LY75,48,Microparticles,O60449
4067,LYN,121,Microparticles,P07948
4190,MDH1,130,Microparticles,P40925
4191,MDH2,102,Microparticles,P40926
4218,RAB8A,160,Microparticles,P61006
4478,MSN,224,Microparticles,P26038
4522,MTHFD1,134,Microparticles,P11586
4599,MX1,44,Microparticles,P20591
4627,MYH9,221,Microparticles,P35579
4629,MYH11,74,Microparticles,P35749
4643,MYO1E,60,Microparticles,Q12965
4670,HNRNPM,84,Microparticles,P52272
4860,PNP,98,Microparticles,P00491
4869,NPM1,126,Microparticles,P06748
4905,NSF,69,Microparticles,P46459
5037,PEBP1,165,Microparticles,P30086
5052,PRDX1,220,Microparticles,Q06830
5106,PCK2,49,Microparticles,Q16822
5175,PECAM1,92,Microparticles,P16284
5211,PFKL,110,Microparticles,P17858
5214,PFKP,108,Microparticles,Q01813
5216,PFN1,212,Microparticles,P07737
5223,PGAM1,170,Microparticles,P18669
5230,PGK1,245,Microparticles,P00558
5295,PIK3R1,39,Microparticles,P27986
5297,PI4KA,66,Microparticles,P42356
5315,PKM,278,Microparticles,P14618
5336,PLCG2,53,Microparticles,P16885
5339,PLEC,126,Microparticles,Q15149
5431,POLR2B,44,Microparticles,P30876
5478,PPIA,233,Microparticles,P62937
5528,PPP2R5D,26,Microparticles,Q14738
5551,PRF1,27,Microparticles,P14222
5566,PRKACA,74,Microparticles,P17612
5579,PRKCB,42,Microparticles,P05771
5591,PRKDC,107,Microparticles,P78527
